title,abstract
Eight queens puzzle,"The eight queens puzzle is the problem of placing eight chess queens on an 8×8 chessboard so that no two queens threaten each other. Thus, a solution requires that no two queens share the same row, column, or diagonal."
List of chess players,This list of chess players includes people who are primarily known as chess players and have an article on the English Wikipedia.
Grandmaster,"Grandmaster (GM) is a title awarded to chess players by the world chess organization FIDE. Apart from World Champion, Grandmaster is the highest title a chess player can attain."
Shogi,"(, ), also known as Japanese chess or the Game of Generals, is a two-player strategy board game native to Japan in the same family as chess, makruk, shatranj, janggi and xiangqi, and is the most popular chess variant in Japan. Shōgi means general's (shō ) board game (gi )."
Wargame,"A wargame is a type of strategy game that simulates warfare to some degree of realism, as opposed to abstract strategy games such as chess. A wargame does not involve the activities of actual military forces, which is better called a field training exercise."
Baroque chess,"Baroque chess is a chess variant invented in 1962 by Robert Abbott. In 1963, at the suggestion of his publisher, he changed the name to Ultima, by which name it is also known."
Chess strategy,"Chess strategy is the aspect of chess playing concerned with evaluation of chess positions and setting of goals and long-term plans for future play. While evaluating a position strategically, a player must take into account such factors as the relative value of the pieces on the board, pawn structure, king safety, position of pieces, and control of key squares and groups of squares (e."
Chessboard,"A chessboard is the type of board game used in the game chess, over which the chess pawns (pieces) are laid. It's usually square in shape, with an alternating pattern of two colours between its subdivisions."
Rook,"A rook (; ♖,♜) is a piece in the strategy board game of chess. Formerly the piece (from Persian رخ rokh/rukh) was called the tower, marquess, rector, and comes ."
Bishop,"A bishop (♗,♝) is a piece in the board game of chess. Each player begins the game with two bishops."
Chess piece,"thumb|upright=2|Original [[Staunton chess set|Staunton chess pieces, left to right: pawn, rook, knight, bishop, queen, and king]]"
Castling,"Castling is a move in the game of chess involving a player's king and either of the player's original rooks. It is the only move in chess in which a player moves two pieces in the same move, and it is the only move aside from the knight's move where a piece can be said to ""jump over"" another."
Chess clock,"A chess clock consists of two adjacent clocks with buttons to stop one clock while starting the other, so that the two clocks never run simultaneously. Chess clocks are used in chess and other two-player games where the players move in turn."
Algebraic notation,Algebraic notation (or AN) is a method for recording and describing the moves in a game of chess. It is based on a system of coordinates to uniquely identify each square on the chessboard.
List of chess variants,"This is a list of chess variants. Many thousands of variants exist; the 2007 catalogue in The Encyclopedia of Chess Variants estimates that there are well over 2,000, with the author noting that many more known variants were considered too trivial for inclusion."
Rules of chess,thumbnail|250px|alt=Photo shows the six types of chess pieces in the Staunton style.|[[Staunton chess set|Staunton style chess pieces.
Go strategy and tactics,"The game of Go has simple rules that can be learned very quickly but, as with chess and similar board games, complex strategies may be deployed by experienced players."
Avalanche chess,"Avalanche chess is a chess variant designed by Ralph Betza in 1977. After moving one of their own pieces, a player must move one of the opponent's pawns forward one square."
Deep Blue,Deep Blue was a chess-playing computer developed by IBM. It is known for being the first computer chess-playing system to win both a chess game and a chess match against a reigning world champion under regular time controls.
Chess960,"Chess960, also called Fischer Random Chess (originally Fischerandom), is a variant of chess invented and advocated by former world chess champion Bobby Fischer, announced publicly on June 19, 1996, in Buenos Aires, Argentina.Gligorić (2002), p."
Descriptive notation,"Descriptive notation is a notation for recording chess games, and at one time was the most popular notation in English- and Spanish-speaking countries  . It was used in Europe until it was superseded by algebraic notation, introduced by Philipp Stamma in 1737."
Computer chess,thumb|1990s pressure-sensory chess computer with LCD screen
Chess puzzle,A chess puzzle is a puzzle in which knowledge of the pieces and rules of chess is used to solve logically a chess-related problem. The history of chess puzzles reaches back to the Middle Ages and has evolved since then.
Chess opening,"A chess opening or simply an opening refers to the initial moves of a chess game. The term can refer to the initial moves by either side, White or Black, but an opening by Black may also be known as a defense."
List of World Chess Championships,"The following is a list of World Chess Championships including the hosting cities. Qualification path consist of Interzonals (defunct), FIDE Grand Prix, Chess World Cup and Candidates Tournament for the process of selecting a challenger for championship matches."
Chess libraries,Chess libraries are library collections of books and periodicals on the game of chess.
H. J. R. Murray,"Harold James Ruthven Murray (24 June 1868 – 16 May 1955) was an English educationalist, inspector of schools, and prominent chess historian. His book, A History of Chess, is widely regarded as the most authoritative and most comprehensive history of the game."
